dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_time,last_loss
aug_mnist,640,4.0,0.0,4.0,1.0,0.6796874999893798,0.6796874999893798,9275.03278684616,154.58387978076934,11.0,0.6579512518541528
aug_mnist,640,4.0,0.0,4.0,3.0,0.8609374999865479,0.8609374999865479,10298.204146146774,171.6367357691129,11.0,0.6177025490902706
aug_mnist,640,4.0,0.0,4.0,2.0,0.8812499999862304,0.8812499999862304,10634.105414152144,177.23509023586908,11.0,0.6439531880516525
aug_mnist,2560,3.0,0.0,4.0,1.0,0.6837349397556037,0.6837349397556037,42147.880043029785,702.4646673838298,19.0,0.6557791805241717
aug_mnist,1280,4.0,0.0,3.0,1.0,0.9796874999923464,0.6859374999946412,15336.073455810549,255.60122426350912,16.0,0.6399950319478581
aug_mnist,2560,3.0,0.0,4.0,2.0,0.8875502007987573,0.8875502007987573,42078.23420572281,701.3039034287135,27.0,0.6428292632077856
aug_mnist,5120,1.0,0.0,4.0,2.0,0.8147590361404882,0.8147590361404882,103647.15784955025,1727.4526308258376,16.0,0.6534708386646859
aug_mnist,1280,4.0,0.0,3.0,3.0,0.967968749992438,0.6914062499945984,13931.567679643633,232.1927946607272,10.0,0.5977883380604772
aug_mnist,5120,2.0,0.0,3.0,3.0,0.9748995983886802,0.668674698791824,77743.80800151825,1295.7301333586374,23.0,0.594470614193709
aug_mnist,1280,4.0,0.0,3.0,2.0,0.9539062499925476,0.6554687499948793,16697.58847427368,278.2931412378947,17.0,0.6362487316081886
aug_mnist,20,5.0,0.0,3.0,1.0,0.89999999955,0.49999999975,282.5642547607422,4.70940424601237,12.0,0.643977794325228
aug_mnist,20,5.0,0.0,3.0,2.0,0.6999999996499999,0.649999999675,342.07380747795105,5.701230124632517,19.0,0.6634132256767087
