dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,40,2,0,4,3,0.499999999875,0.499999999875,544.7549088001251,9.079248480002086
eurosat,40,3,0,3,1,0.499999999875,0.499999999875,783.5232224464417,13.058720374107361
eurosat,40,3,0,3,1,0.499999999875,0.499999999875,783.5232224464417,13.058720374107361
eurosat,40,3,0,3,2,0.499999999875,0.499999999875,758.5471060276031,12.642451767126719
eurosat,40,3,0,3,2,0.499999999875,0.499999999875,758.5471060276031,12.642451767126719
eurosat,40,3,0,3,3,0.499999999875,0.499999999875,778.7192788124084,12.978654646873474
eurosat,40,3,0,3,3,0.499999999875,0.499999999875,778.7192788124084,12.978654646873474
eurosat,40,3,0,4,1,0.499999999875,0.499999999875,1358.5822985172272,22.643038308620454
eurosat,40,3,0,4,1,0.499999999875,0.499999999875,1358.5822985172272,22.643038308620454
eurosat,40,3,0,4,2,0.499999999875,0.499999999875,1294.1963226795197,21.569938711325328
eurosat,40,3,0,4,2,0.499999999875,0.499999999875,1294.1963226795197,21.569938711325328
eurosat,40,3,0,4,3,0.499999999875,0.499999999875,1427.438362121582,23.790639368693032
eurosat,40,3,0,4,3,0.499999999875,0.499999999875,1427.438362121582,23.790639368693032
eurosat,40,4,0,3,1,0.499999999875,0.499999999875,838.3078072071075,13.971796786785125
eurosat,40,4,0,3,1,0.499999999875,0.499999999875,838.3078072071075,13.971796786785125
eurosat,40,4,0,3,2,0.499999999875,0.499999999875,813.1153314113617,13.551922190189362
eurosat,40,4,0,3,2,0.499999999875,0.499999999875,813.1153314113617,13.551922190189362
eurosat,40,4,0,3,3,0.499999999875,0.499999999875,802.3922979831696,13.37320496638616
eurosat,40,4,0,3,3,0.499999999875,0.499999999875,802.3922979831696,13.37320496638616
eurosat,40,4,0,4,1,0.499999999875,0.499999999875,1179.3152558803558,19.655254264672596
eurosat,40,4,0,4,1,0.499999999875,0.499999999875,1179.3152558803558,19.655254264672596
eurosat,40,4,0,4,2,0.499999999875,0.499999999875,1206.2734997272491,20.104558328787487
eurosat,40,4,0,4,2,0.499999999875,0.499999999875,1206.2734997272491,20.104558328787487
eurosat,40,4,0,4,3,0.499999999875,0.499999999875,1218.274829864502,20.3045804977417
eurosat,40,4,0,4,3,0.499999999875,0.499999999875,1218.274829864502,20.3045804977417
eurosat,640,1,0,3,1,0.5218749999918457,0.5218749999918457,5721.0228972435,95.350381620725
eurosat,640,1,0,3,1,0.5218749999918457,0.5218749999918457,5721.0228972435,95.350381620725
eurosat,640,1,0,3,2,0.5218749999918457,0.5218749999918457,6356.4734582901,105.941224304835
eurosat,640,1,0,3,2,0.5218749999918457,0.5218749999918457,6356.4734582901,105.941224304835
eurosat,640,1,0,3,3,0.5234374999918213,0.5234374999918213,6093.863967418671,101.56439945697784
eurosat,640,1,0,3,3,0.5234374999918213,0.5234374999918213,6093.863967418671,101.56439945697784
eurosat,640,1,0,4,1,0.5218749999918457,0.5218749999918457,8512.341966867447,141.87236611445744
eurosat,640,1,0,4,1,0.5218749999918457,0.5218749999918457,8512.341966867447,141.87236611445744
eurosat,640,1,0,4,2,0.5218749999918457,0.5218749999918457,9002.046589136124,150.0341098189354
eurosat,640,1,0,4,2,0.5218749999918457,0.5218749999918457,9002.046589136124,150.0341098189354
eurosat,640,1,0,4,3,0.5218749999918457,0.5218749999918457,8830.862905979156,147.18104843298593
eurosat,640,1,0,4,3,0.5218749999918457,0.5218749999918457,8830.862905979156,147.18104843298593
eurosat,640,2,0,3,1,0.5218749999918457,0.5218749999918457,9978.534710407257,166.30891184012094
eurosat,640,2,0,3,1,0.5218749999918457,0.5218749999918457,9978.534710407257,166.30891184012094
eurosat,640,2,0,3,2,0.5218749999918457,0.5218749999918457,10526.06907916069,175.43448465267818
eurosat,640,2,0,3,2,0.5218749999918457,0.5218749999918457,10526.06907916069,175.43448465267818
eurosat,640,2,0,3,3,0.5249999999917969,0.5234374999918213,11578.376276731491,192.97293794552485
eurosat,640,2,0,3,3,0.5249999999917969,0.5234374999918213,11578.376276731491,192.97293794552485
eurosat,640,2,0,4,1,0.5203124999918701,0.5203124999918701,17166.042694568634,286.1007115761439
eurosat,640,2,0,4,1,0.5203124999918701,0.5203124999918701,17166.042694568634,286.1007115761439
eurosat,640,2,0,4,2,0.5218749999918457,0.5218749999918457,18346.116544246674,305.76860907077787
eurosat,640,2,0,4,2,0.5218749999918457,0.5218749999918457,18346.116544246674,305.76860907077787
eurosat,640,2,0,4,3,0.5218749999918457,0.5218749999918457,19598.83387184143,326.6472311973572
eurosat,640,2,0,4,3,0.5218749999918457,0.5218749999918457,19598.83387184143,326.6472311973572
