dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch,last_loss
mnist,5120.0,1.0,0.0,4.0,1.0,0.585843373491035,0.585843373491035,91660.18641877174,1527.6697736461958,15.0,0.6391902840124997
mnist,5120.0,2.0,0.0,3.0,2.0,0.9226907630475768,0.7018072289121395,68388.19844055176,1139.8033073425293,25.0,0.600323241947909
mnist,640.0,4.0,0.0,4.0,2.0,0.9078124999858154,0.9078124999858154,13024.570190429688,217.0761698404948,14.0,0.6273718756339275
mnist,640.0,4.0,0.0,4.0,1.0,0.5968749999906738,0.5968749999906738,14011.7760283947,233.52960047324495,18.0,0.6411335271496732
mnist,5120.0,1.0,0.0,4.0,2.0,0.8719879518028515,0.8719879518028515,96683.94408941267,1611.3990681568782,17.0,0.6220762234914073
mnist,5120.0,2.0,0.0,3.0,3.0,0.9568273092321444,0.6636546184705641,71157.7779276371,1185.9629654606183,17.0,0.5093859767903869
mnist,5120.0,2.0,0.0,3.0,1.0,0.9452811244932466,0.6752008032094619,74874.17447257042,1247.9029078761737,9.0,0.5974591165769352
mnist,640.0,4.0,0.0,4.0,3.0,0.871874999986377,0.871874999986377,13136.53472352028,218.94224539200465,16.0,0.5921109223273266
mnist,2560.0,3.0,0.0,4.0,2.0,0.8925702811200172,0.8925702811200172,47549.79937052727,792.4966561754544,16.0,0.623137896654556
mnist,1280.0,4.0,0.0,3.0,1.0,0.96640624999245,0.6562499999948731,16734.22828602791,278.9038047671318,21.0,0.597818992729285
mnist,2560.0,3.0,0.0,4.0,1.0,0.5983935742941848,0.5983935742941848,51417.89084935188,856.9648474891981,16.0,0.639157393572218
mnist,1280.0,4.0,0.0,3.0,2.0,0.8085937499936829,0.6437499999949707,18700.47385406494,311.6745642344157,15.0,0.602838978166639
mnist,1280.0,4.0,0.0,3.0,3.0,0.9843749999923096,0.6687499999947755,21882.276667118076,364.70461111863455,11.0,0.514830183978827
mnist,20.0,5.0,0.0,3.0,1.0,0.8499999995749999,0.549999999725,270.01429080963135,4.5002381801605225,13.0,0.6071644613091192
mnist,20.0,5.0,0.0,3.0,2.0,0.8499999995749999,0.49999999975,286.73456621170044,4.778909436861674,13.0,0.619854636478441
mnist,2560.0,3.0,0.0,4.0,3.0,0.7725903614419047,0.7725903614419047,54946.27607584,915.7712679306666,26.0,0.6091550970053721
mnist,20.0,5.0,0.0,3.0,3.0,0.8499999995749999,0.5999999997,298.2390158176422,4.970650263627371,32.0,0.5199770170830558
