dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,80,4,0,3,3,0.974999999878125,0.7499999999062501,1186.2148718833923,19.770247864723206,8
mnist,80,4,0,4,1,0.6124999999234375,0.6124999999234375,1236.2829225063324,20.60471537510554,35
mnist,80,4,0,4,3,0.7874999999015626,0.7874999999015626,1453.1487829685211,24.219146382808685,37
mnist,80,4,0,4,2,0.9374999998828126,0.9374999998828126,1646.9171175956726,27.448618626594545,17
mnist,160,4,0,3,1,0.9624999999398437,0.6687499999582031,1984.0909066200256,33.068181777000426,32
mnist,160,4,0,3,3,0.9874999999382812,0.7062499999558594,2157.7814242839813,35.963023738066354,17
mnist,160,4,0,3,2,0.8624999999460937,0.6374999999601563,2681.682316303253,44.694705271720885,21
mnist,160,4,0,4,3,0.9124999999429687,0.9124999999429687,2675.9952523708344,44.59992087284724,21
mnist,160,4,0,4,1,0.6124999999617187,0.6124999999617187,3522.3169734477997,58.70528289079666,31
mnist,160,4,0,4,2,0.8874999999445312,0.8874999999445312,3760.0377674102783,62.66729612350464,21
mnist,2560,3,0,3,2,0.7374497991930852,0.5542168674670973,29870.272183656693,497.8378697276115,16
mnist,2560,2,0,4,3,0.8930722891521432,0.8930722891521432,57253.4702835083,954.2245047251383,26
mnist,320,4,0,3,1,0.9656249999698242,0.6312499999802734,3988.53622841835,66.4756038069725,24
mnist,320,4,0,3,2,0.8968749999719726,0.6374999999800781,4487.396807193756,74.7899467865626,19
mnist,2560,3,0,3,1,0.9618473895534044,0.6772088353379658,33411.60329389572,556.860054898262,21
mnist,320,4,0,3,3,0.9781249999694336,0.6437499999798828,4141.306802988052,69.02178004980087,24
mnist,320,4,0,4,1,0.6124999999808594,0.6124999999808594,6314.829798460007,105.24716330766678,19
mnist,2560,3,0,3,3,0.9703815260995463,0.657128514052926,33523.85518217087,558.7309197028478,26
mnist,320,4,0,4,3,0.8468749999735351,0.8468749999735351,6185.6571617126465,103.0942860285441,32
mnist,320,4,0,4,2,0.8687499999728515,0.8687499999728515,7628.310349941254,127.13850583235423,19
mnist,640,4,0,3,2,0.7687499999879883,0.5578124999912841,8061.956285238266,134.36593808730444,9
mnist,640,4,0,3,1,0.9484374999851807,0.6624999999896485,10178.06316280365,169.63438604672749,23
mnist,640,4,0,3,3,0.9593749999850097,0.6484374999898681,9771.990821361542,162.86651368935904,28
mnist,5120,1,0,4,1,0.585843373491035,0.585843373491035,91660.18641877174,1527.6697736461958,15
mnist,5120,2,0,3,2,0.9226907630475769,0.7018072289121395,68388.19844055176,1139.8033073425293,25
mnist,640,4,0,4,2,0.9078124999858154,0.9078124999858154,13024.570190429688,217.0761698404948,14
mnist,640,4,0,4,1,0.5968749999906738,0.5968749999906738,14011.7760283947,233.52960047324498,18
mnist,5120,1,0,4,2,0.8719879518028515,0.8719879518028515,96683.94408941269,1611.3990681568782,17
mnist,5120,2,0,3,3,0.9568273092321445,0.6636546184705641,71157.7779276371,1185.9629654606183,17
mnist,5120,2,0,3,1,0.9452811244932466,0.6752008032094619,74874.17447257042,1247.9029078761737,9
mnist,640,4,0,4,3,0.871874999986377,0.871874999986377,13136.534723520279,218.94224539200465,16
mnist,2560,3,0,4,2,0.8925702811200172,0.8925702811200172,47549.79937052727,792.4966561754544,16
mnist,1280,4,0,3,1,0.9664062499924501,0.6562499999948731,16734.22828602791,278.9038047671318,21
mnist,2560,3,0,4,1,0.5983935742941848,0.5983935742941848,51417.89084935188,856.9648474891981,16
mnist,1280,4,0,3,2,0.8085937499936829,0.6437499999949707,18700.47385406494,311.6745642344157,15
mnist,1280,4,0,3,3,0.9843749999923097,0.6687499999947755,21882.276667118073,364.70461111863455,11
mnist,20,5,0,3,1,0.8499999995749999,0.549999999725,270.01429080963135,4.5002381801605225,13
mnist,20,5,0,3,2,0.8499999995749999,0.49999999975,286.73456621170044,4.778909436861674,13
mnist,2560,3,0,4,3,0.7725903614419047,0.7725903614419047,54946.276075839996,915.7712679306666,26
mnist,20,5,0,3,3,0.8499999995749999,0.5999999997,298.2390158176422,4.970650263627371,32
mnist,20,5,0,4,1,0.49999999975,0.49999999975,350.59671115875244,5.84327851931254,60
mnist,20,5,0,4,2,0.6999999996499999,0.6999999996499999,375.22984790802,6.253830798467001,29
mnist,20,5,0,4,3,0.749999999625,0.749999999625,402.1728341579437,6.7028805692990625,57
mnist,40,5,0,3,1,0.92499999976875,0.6499999998375,533.0515556335449,8.884192593892415,13
mnist,40,5,0,3,2,0.59999999985,0.62499999984375,513.3017308712006,8.555028847853343,13
mnist,40,5,0,3,3,0.92499999976875,0.72499999981875,545.141242980957,9.08568738301595,24
mnist,40,5,0,4,1,0.6999999998249999,0.6999999998249999,841.8142457008362,14.03023742834727,53
mnist,40,5,0,4,2,0.77499999980625,0.77499999980625,710.9717447757721,11.849529079596202,13
mnist,40,5,0,4,3,0.87499999978125,0.87499999978125,710.6305508613586,11.843842514355977,48
mnist,80,5,0,3,1,0.9624999998796876,0.724999999909375,1188.5849041938782,19.809748403231303,10
mnist,80,5,0,3,2,0.5999999999250001,0.54999999993125,1223.562034368515,20.392700572808582,17
mnist,1280,4,0,4,1,0.6007812499953065,0.6007812499953065,25147.296459197998,419.1216076533,15
mnist,80,5,0,3,3,0.9499999998812501,0.724999999909375,1130.502876996994,18.841714616616567,17
mnist,80,5,0,4,1,0.6124999999234375,0.6124999999234375,1532.782665014267,25.546377750237784,26
mnist,5120,3,0,3,1,0.9457831325253726,0.6752008032094619,60050.8395652771,1000.8473260879516,17
mnist,80,5,0,4,3,0.8499999998937501,0.8499999998937501,1494.8888618946075,24.914814364910125,22
mnist,80,5,0,4,2,0.974999999878125,0.974999999878125,1624.964441537857,27.082740692297616,17
mnist,5120,1,0,4,3,0.8785140562204894,0.8785140562204894,115959.25216031075,1932.6542026718457,32
mnist,1280,4,0,4,2,0.853906249993329,0.853906249993329,25653.226092100143,427.5537682016691,12
mnist,160,5,0,3,1,0.9624999999398437,0.6687499999582031,2296.438358783722,38.273972646395364,32
mnist,160,5,0,3,2,0.7937499999503906,0.5124999999679687,2078.273950576782,34.6378991762797,32
mnist,160,5,0,4,1,0.6124999999617187,0.6124999999617187,2563.4065272808075,42.72344212134679,21
mnist,160,5,0,3,3,0.9874999999382812,0.7062499999558594,2747.737377166748,45.795622952779134,17
mnist,160,5,0,4,2,0.8624999999460937,0.8624999999460937,3309.3278884887695,55.15546480814616,20
mnist,160,5,0,4,3,0.9374999999414062,0.9374999999414062,2892.5648081302643,48.20941346883774,43
mnist,1280,4,0,4,3,0.8578124999932984,0.8578124999932984,29199.93974685669,486.6656624476115,29
mnist,5120,2,0,4,2,0.8719879518028515,0.8719879518028515,94316.17956614494,1571.9363261024157,9
mnist,320,5,0,3,2,0.9218749999711914,0.5499999999828125,3914.747279882431,65.24578799804051,16
mnist,5120,3,0,3,3,0.9718875501959243,0.6691767068239499,65377.860323667526,1089.6310053944587,9
mnist,320,5,0,3,3,0.9749999999695312,0.6468749999797851,3862.424486398697,64.37374143997828,24
mnist,320,5,0,3,1,0.9656249999698242,0.6312499999802734,4816.568195104599,80.27613658507666,22
mnist,5120,2,0,4,1,0.585843373491035,0.585843373491035,96220.96772313118,1603.6827953855197,15
mnist,5120,3,0,3,2,0.9558232931678925,0.6089357429688307,66823.8295083046,1113.7304918050766,25
mnist,2560,4,0,3,2,0.9011044176661591,0.6992971887515096,30000.11083126068,500.00184718767804,15
mnist,2560,4,0,3,1,0.9618473895534044,0.6772088353379658,32548.834968090057,542.480582801501,21
mnist,320,5,0,4,1,0.6124999999808594,0.6124999999808594,6519.829513311386,108.66382522185644,19
mnist,320,5,0,4,3,0.8562499999732421,0.8562499999732421,6657.145122528076,110.95241870880128,32
mnist,320,5,0,4,2,0.8687499999728515,0.8687499999728515,7919.890230894089,131.9981705149015,19
mnist,640,5,0,3,2,0.954687499985083,0.5859374999908448,7444.257653236389,124.07096088727316,20
