N,seed,non_equivariance,p_err,max_val_acc,max_epoch
20,999,2,0.08,0.6,4
20,999,2,0.09,0.65,2
20,999,2,0.1,0.7,2
20,999,3,0.0,0.85,37
20,999,3,0.01,0.85,39
20,999,3,0.02,0.75,33
20,999,3,0.03,0.75,35
20,999,3,0.04,0.75,35
20,999,3,0.05,0.75,37
20,999,3,0.06,0.75,39
20,999,3,0.07,0.7,37
20,999,3,0.08,0.65,7
20,999,3,0.09,0.65,7
20,999,3,0.1,0.65,7
20,999,4,0.0,0.949999999525,6
20,999,4,0.01,0.949999999525,5
20,999,4,0.02,0.949999999525,5
20,999,4,0.03,0.949999999525,4
20,999,4,0.04,0.549999999725,38
20,999,4,0.05,0.749999999625,36
20,999,4,0.06,0.749999999625,35
20,999,4,0.07,0.749999999625,36
20,999,4,0.08,0.749999999625,36
20,999,4,0.09,0.749999999625,37
20,999,4,0.1,0.749999999625,38
40,999,0,0.0,0.72499999981875,8
40,999,0,0.01,0.72499999981875,8
40,999,0,0.02,0.72499999981875,7
40,999,0,0.03,0.72499999981875,7
40,999,0,0.04,0.72499999981875,8
40,999,0,0.05,0.6999999998249999,4
40,999,0,0.06,0.6999999998249999,3
40,999,0,0.07,0.6999999998249999,15
40,999,0,0.08,0.6999999998249999,15
40,999,0,0.09,0.6999999998249999,16
40,999,0,0.1,0.72499999981875,25
40,999,1,0.0,0.8249999997937499,13
40,999,1,0.01,0.77499999980625,10
40,999,1,0.02,0.7499999998125,11
40,999,1,0.03,0.72499999981875,13
40,999,1,0.04,0.6499999998375,13
40,999,1,0.05,0.5749999998562499,13
40,999,1,0.06,0.499999999875,3
40,999,1,0.07,0.52499999986875,3
40,999,1,0.08,0.62499999984375,1
40,999,1,0.09,0.5499999998625,5
40,999,1,0.1,0.62499999984375,1
40,999,2,0.0,0.8249999997937499,13
40,999,2,0.01,0.77499999980625,11
40,999,2,0.02,0.7499999998125,13
40,999,2,0.03,0.72499999981875,13
40,999,2,0.04,0.5749999998562499,11
40,999,2,0.05,0.52499999986875,1
40,999,2,0.06,0.52499999986875,2
40,999,2,0.07,0.5499999998625,2
40,999,2,0.08,0.59999999985,1
40,999,2,0.09,0.5499999998625,1
40,999,2,0.1,0.59999999985,1
40,999,3,0.0,0.72499999981875,36
40,999,3,0.01,0.6499999998375,39
40,999,3,0.02,0.62499999984375,6
40,999,3,0.03,0.5749999998562499,6
40,999,3,0.04,0.59999999985,6
40,999,3,0.05,0.59999999985,6
40,999,3,0.06,0.59999999985,6
40,999,3,0.07,0.5749999998562499,4
40,999,3,0.08,0.59999999985,5
40,999,3,0.09,0.59999999985,4
40,999,3,0.1,0.59999999985,4
40,999,4,0.01,0.97499999975625,4
40,999,4,0.02,0.97499999975625,4
40,999,4,0.03,0.97499999975625,4
40,999,4,0.04,0.9499999997625,2
40,999,4,0.05,0.9499999997625,2
40,999,4,0.06,0.9499999997625,4
40,999,4,0.07,0.9499999997625,5
40,999,4,0.08,0.9499999997625,5
40,999,4,0.09,0.92499999976875,6
40,999,4,0.1,0.899999999775,2
80,999,0,0.0,0.7749999999031251,11
80,999,0,0.01,0.7749999999031251,11
80,999,0,0.02,0.7749999999031251,17
80,999,0,0.03,0.7749999999031251,18
80,999,0,0.04,0.7749999999031251,18
80,999,0,0.05,0.7874999999015626,21
80,999,0,0.06,0.7874999999015626,22
80,999,0,0.07,0.7874999999015626,26
80,999,0,0.08,0.7874999999015626,34
80,999,0,0.09,0.7999999999,27
80,999,0,0.1,0.8124999998984376,22
80,999,1,0.0,0.8374999998953125,11
80,999,1,0.01,0.7999999999,9
80,999,1,0.02,0.7749999999031251,9
80,999,1,0.03,0.7624999999046875,11
80,999,1,0.04,0.724999999909375,11
80,999,1,0.05,0.6874999999140625,9
80,999,1,0.06,0.64999999991875,11
80,999,1,0.07,0.5999999999250001,1
80,999,1,0.08,0.5624999999296876,2
80,999,1,0.09,0.54999999993125,1
80,999,1,0.1,0.574999999928125,1
80,999,2,0.0,0.8374999998953125,11
80,999,2,0.01,0.7999999999,9
80,999,2,0.02,0.7874999999015626,11
80,999,2,0.03,0.7374999999078126,11
80,999,2,0.04,0.6874999999140625,6
80,999,2,0.05,0.6624999999171876,9
80,999,2,0.06,0.5999999999250001,1
80,999,2,0.07,0.5999999999250001,1
80,999,2,0.08,0.574999999928125,1
80,999,2,0.09,0.54999999993125,1
80,999,2,0.1,0.5874999999265625,1
80,999,3,0.0,0.6999999999125001,39
80,999,3,0.01,0.6999999999125001,39
80,999,3,0.02,0.6874999999140625,39
80,999,3,0.03,0.6874999999140625,39
80,999,3,0.04,0.7999999999,39
80,999,3,0.05,0.7874999999015626,39
80,999,3,0.06,0.7874999999015626,39
80,999,3,0.07,0.7749999999031251,37
80,999,3,0.08,0.7749999999031251,39
80,999,3,0.09,0.7749999999031251,39
80,999,3,0.1,0.7749999999031251,39
80,999,4,0.01,0.8874999998890626,6
80,999,4,0.02,0.8874999998890626,6
80,999,4,0.03,0.8874999998890626,7
80,999,4,0.04,0.8874999998890626,12
80,999,4,0.05,0.8874999998890626,6
80,999,4,0.06,0.8874999998890626,6
80,999,4,0.07,0.8874999998890626,6
80,999,4,0.08,0.8874999998890626,6
80,999,4,0.09,0.8874999998890626,22
80,999,4,0.1,0.8874999998890626,12
160,999,0,0.0,0.768749999951953,14
160,999,0,0.01,0.7812499999511718,16
160,999,0,0.02,0.7812499999511718,10
160,999,0,0.03,0.7812499999511718,19
160,999,0,0.04,0.7874999999507812,19
160,999,0,0.05,0.7874999999507812,19
160,999,0,0.06,0.7874999999507812,22
