seed,N,non_equivariance,p_err,max_val_acc,max_epoch
101,40,0,0.15,0.87499999978125,2
101,40,0,0.16,0.87499999978125,2
101,40,0,0.17,0.87499999978125,2
101,40,0,0.18,0.87499999978125,2
101,40,0,0.19,0.899999999775,2
101,40,0,0.2,0.92499999976875,2
101,40,1,0.11,0.499999999875,2
101,40,1,0.12,0.52499999986875,3
101,40,1,0.13,0.52499999986875,3
101,40,1,0.14,0.59999999985,4
101,40,1,0.15,0.62499999984375,4
101,40,1,0.16,0.59999999985,4
101,40,1,0.17,0.62499999984375,6
101,40,1,0.18,0.62499999984375,4
101,40,1,0.19,0.62499999984375,3
101,40,1,0.2,0.62499999984375,3
101,40,2,0.11,0.499999999875,2
101,40,2,0.12,0.52499999986875,3
101,40,2,0.13,0.5749999998562499,4
101,40,2,0.14,0.59999999985,4
101,40,2,0.15,0.62499999984375,5
101,40,2,0.16,0.59999999985,4
101,40,2,0.17,0.62499999984375,6
101,40,2,0.18,0.62499999984375,6
101,40,2,0.19,0.62499999984375,3
101,40,2,0.2,0.62499999984375,3
101,40,3,0.11,0.59999999985,6
101,40,3,0.12,0.5749999998562499,5
101,40,3,0.13,0.59999999985,6
101,40,3,0.14,0.62499999984375,6
101,40,3,0.15,0.62499999984375,6
101,40,3,0.16,0.62499999984375,6
101,40,3,0.17,0.62499999984375,6
101,40,3,0.18,0.62499999984375,6
101,40,3,0.19,0.59999999985,6
101,40,3,0.2,0.59999999985,6
101,40,4,0.01,0.92499999976875,10
101,40,4,0.02,0.92499999976875,9
101,40,4,0.03,0.92499999976875,9
101,40,4,0.04,0.92499999976875,9
101,40,4,0.05,0.92499999976875,8
101,40,4,0.06,0.92499999976875,8
101,40,4,0.07,0.92499999976875,29
101,40,4,0.08,0.92499999976875,10
101,40,4,0.09,0.92499999976875,10
101,40,4,0.1,0.899999999775,7
101,80,0,0.11,0.8499999998937501,2
101,80,0,0.12,0.8374999998953125,2
101,80,0,0.13,0.8499999998937501,7
101,80,0,0.14,0.8499999998937501,3
101,80,0,0.15,0.8624999998921876,6
101,80,0,0.16,0.8624999998921876,4
101,80,0,0.17,0.874999999890625,3
101,80,0,0.18,0.8624999998921876,3
101,80,0,0.19,0.8624999998921876,2
101,80,0,0.2,0.874999999890625,2
101,80,1,0.11,0.5374999999328125,7
101,80,1,0.12,0.5374999999328125,21
101,80,1,0.13,0.5374999999328125,16
